Date,Withdrawals,Deposits,Balance
16-07-2019,0,200,200
8/10/2019,0,1,201
12/1/2020,0,2,203
14-03-2020,0.94,0,202.06
15-04-2020,0,2,204.06
7/7/2020,0,1,205.06
10/10/2020,0,1,206.06
6/1/2021,0,1,207.06
26-02-2021,0,2300,2507.06
7/4/2021,0,7,2514.06
7/7/2021,0,16,2530.06
7/8/2021,10,0,2520.06
9/8/2021,149,0,2371.06
13-08-2021,0,35740,38111.06
13-08-2021,0,10,38121.06
13-08-2021,10,0,38111.06
15-08-2021,430,0,37681.06
15-08-2021,0,430,38111.06
15-08-2021,1,0,38110.06
15-08-2021,10000,0,28110.06
15-08-2021,13420,0,14690.06
15-08-2021,0,100,14790.06
15-08-2021,1100,0,13690.06
15-08-2021,0,1,13691.06
21-08-2021,60,0,13631.06
3/9/2021,0,10,13641.06
9/9/2021,0,8,13649.06
10/9/2021,0,8,13657.06
12/9/2021,0,5,13662.06
12/9/2021,0,5,13667.06
12/9/2021,0,5,13672.06
12/9/2021,0,5,13677.06
12/9/2021,0,5,13682.06
12/9/2021,0,5,13687.06
13-09-2021,10,0,13677.06
16-09-2021,0,1,13678.06
16-09-2021,0,10,13688.06
18-09-2021,269,0,13419.06
18-09-2021,0,100,13519.06
21-09-2021,10000,0,3519.06
21-09-2021,1000,0,2519.06
4/10/2021,149,0,2370.06
7/10/2021,10,0,2360.06
9/10/2021,0,49,2409.06
13-10-2021,550,0,1859.06
31-10-2021,1000,0,859.06
31-10-2021,555,0,304.06
7/11/2021,0,1000,1304.06
6/12/2021,0,164,1468.06
7/12/2021,164,0,1304.06
10/12/2021,30,0,1274.06
11/1/2022,0,9,1283.06
20-01-2022,1,0,1282.06
20-01-2022,100,0,1182.06
26-01-2022,479,0,703.06
4/2/2022,0,100,803.06
14-02-2022,470.82,0,332.24
14-02-2022,0,1,333.24
14-02-2022,0,1,334.24
14-02-2022,0,2000,2334.24
21-02-2022,48,0,2286.24
21-02-2022,155,0,2131.24
24-02-2022,120,0,2011.24
3/3/2022,0,40,2051.24
3/3/2022,0,40,2091.24
10/3/2022,0,2400,4491.24
12/3/2022,1000,0,3491.24
22-03-2022,0,1000,4491.24
23-03-2022,200,0,4291.24
23-03-2022,55,0,4236.24
23-03-2022,479,0,3757.24
25-03-2022,100,0,3657.24
25-03-2022,1,0,3656.24
25-03-2022,498,0,3158.24
26-03-2022,0,500,3658.24
28-03-2022,30,0,3628.24
2/4/2022,240,0,3388.24
5/4/2022,100,0,3288.24
6/4/2022,0,12,3300.24
6/4/2022,600,0,2700.24
7/4/2022,30,0,2670.24
8/4/2022,1170,0,1500.24
10/4/2022,80,0,1420.24
12/4/2022,1000,0,420.24
13-04-2022,0,1000,1420.24
16-04-2022,470.82,0,949.42
20-04-2022,0,1000,1949.42
20-04-2022,0,6700,8649.42
22-04-2022,0,780,9429.42
23-04-2022,294,0,9135.42
23-04-2022,211,0,8924.42
23-04-2022,30,0,8894.42
23-04-2022,100,0,8794.42
24-04-2022,3200,0,5594.42
30-04-2022,241,0,5353.42
30-04-2022,0,239,5592.42
5/5/2022,30,0,5562.42
7/5/2022,60,0,5502.42
8/5/2022,162.5,0,5339.92
12/5/2022,0,80,5419.92
14-05-2022,1300,0,4119.92
14-05-2022,500,0,3619.92
14-05-2022,1300,0,2319.92
16-05-2022,470.82,0,1849.1
19-05-2022,479,0,1370.1
28-05-2022,350,0,1020.1
28-05-2022,0,100,1120.1
28-05-2022,100,0,1020.1
29-05-2022,5,0,1015.1
29-05-2022,0,40,1055.1
8/6/2022,25,0,1030.1
16-06-2022,0,30460,31490.1
16-06-2022,470.82,0,31019.28
17-06-2022,40,0,30979.28
19-06-2022,1,0,30978.28
19-06-2022,50,0,30928.28
19-06-2022,23920,0,7008.28
19-06-2022,75,0,6933.28
19-06-2022,40,0,6893.28
20-06-2022,205,0,6688.28
20-06-2022,0,600,7288.28
20-06-2022,600,0,6688.28
22-06-2022,76,0,6612.28
22-06-2022,3000,0,3612.28
23-06-2022,60,0,3552.28
26-06-2022,0,2500,6052.28
27-06-2022,270,0,5782.28
28-06-2022,2500,0,3282.28
28-06-2022,1500,0,1782.28
28-06-2022,30,0,1752.28
29-06-2022,101,0,1651.28
29-06-2022,100,0,1551.28
1/7/2022,40,0,1511.28
1/7/2022,20,0,1491.28
2/7/2022,780.09,0,711.19
4/7/2022,0,26,737.19
4/7/2022,110,0,627.19
11/7/2022,0,1400,2027.19
12/7/2022,1400,0,627.19
13-07-2022,100,0,527.19
17-07-2022,0,500,1027.19
17-07-2022,470.82,0,556.37
17-07-2022,130,0,426.37
17-07-2022,10,0,416.37
17-07-2022,146.8,0,269.57
17-07-2022,0,500,769.57
19-07-2022,200,0,569.57
19-07-2022,241,0,328.57
22-07-2022,100,0,228.57
29-07-2022,0,100,328.57
29-07-2022,100,0,228.57
4/8/2022,0,1000,1228.57
4/8/2022,0,3200,4428.57
5/8/2022,0,3000,7428.57
8/8/2022,40,0,7388.57
15-08-2022,1000,0,6388.57
15-08-2022,1000,0,5388.57
16-08-2022,0,1000,6388.57
16-08-2022,0,1000,7388.57
16-08-2022,470.82,0,6917.75
16-08-2022,40,0,6877.75
18-08-2022,3600,0,3277.75
19-08-2022,120,0,3157.75
19-08-2022,100,0,3057.75
20-08-2022,240,0,2817.75
20-08-2022,20,0,2797.75
20-08-2022,0,1500,4297.75
20-08-2022,3600,0,697.75
21-08-2022,0,3600,4297.75
21-08-2022,1500,0,2797.75
27-08-2022,100,0,2697.75
28-08-2022,300,0,2397.75
28-08-2022,40,0,2357.75
30-08-2022,300,0,2057.75
2/9/2022,500,0,1557.75
4/9/2022,211,0,1346.75
5/9/2022,300,0,1046.75
5/9/2022,50,0,996.75
5/9/2022,120,0,876.75
5/9/2022,60,0,816.75
5/9/2022,0,175,991.75
9/9/2022,100,0,891.75
9/9/2022,100,0,791.75
10/9/2022,25,0,766.75
13-09-2022,25,0,741.75
15-09-2022,0,2100,2841.75
15-09-2022,1000,0,1841.75
15-09-2022,1000,0,841.75
16-09-2022,470.82,0,370.93
21-09-2022,15,0,355.93
23-09-2022,40,0,315.93
24-09-2022,15,0,300.93
26-09-2022,0,20,320.93
26-09-2022,60,0,260.93
30-09-2022,0,300,560.93
30-09-2022,300,0,260.93
30-09-2022,150,0,110.93
1/10/2022,0,200,310.93
1/10/2022,157,0,153.93
1/10/2022,100,0,53.93
1/10/2022,0,1000,1053.93
4/10/2022,200,0,853.93
5/10/2022,0,12,865.93
7/10/2022,300,0,565.93
8/10/2022,20,0,545.93
16-10-2022,470.82,0,75.11
27-10-2022,0,200,275.11
27-10-2022,0,2000,2275.11
29-10-2022,10,0,2265.11
29-10-2022,20,0,2245.11
30-10-2022,20,0,2225.11
30-10-2022,0,350,2575.11
31-10-2022,450,0,2125.11
5/11/2022,20,0,2105.11
7/11/2022,479,0,1626.11
7/11/2022,0,500,2126.11
15-11-2022,0,60,2186.11
15-11-2022,300,0,1886.11
15-11-2022,470,0,1416.11
15-11-2022,19,0,1397.11
16-11-2022,0,300,1697.11
16-11-2022,25,0,1672.11
17-11-2022,0,60,1732.11
17-11-2022,0,60,1792.11
19-11-2022,0,1300,3092.11
19-11-2022,72,0,3020.11
19-11-2022,15,0,3005.11
21-11-2022,5,0,3000.11
21-11-2022,1850,0,1150.11
23-11-2022,30,0,1120.11
24-11-2022,0,40,1160.11
24-11-2022,0,70,1230.11
24-11-2022,35,0,1195.11
25-11-2022,130,0,1065.11
25-11-2022,0,3000,4065.11
25-11-2022,3000,0,1065.11
25-11-2022,0,1000,2065.11
29-11-2022,0,1,2066.11
30-11-2022,100,0,1966.11
5/12/2022,179,0,1787.11
6/12/2022,100,0,1687.11
6/12/2022,1,0,1686.11
6/12/2022,0,1,1687.11
15-12-2022,470.82,0,1216.29
21-12-2022,100,0,1116.29
22-12-2022,100,0,1016.29
23-12-2022,40,0,976.29
23-12-2022,0,100,1076.29
2/1/2023,0,9,1085.29
2/1/2023,157,0,928.29
2/1/2023,50,0,878.29
4/1/2023,0,50,928.29
8/1/2023,120,0,808.29
8/1/2023,120,0,688.29
9/1/2023,0,370,1058.29
9/1/2023,50,0,1008.29
9/1/2023,60,0,948.29
9/1/2023,90,0,858.29
15-01-2023,470.82,0,387.47
16-01-2023,30,0,357.47
16-01-2023,50,0,307.47
20-01-2023,15,0,292.47
28-01-2023,130,0,162.47
3/2/2023,100,0,62.47
3/2/2023,0,1,63.47
3/2/2023,0,3000,3063.47
3/2/2023,3000,0,63.47
4/2/2023,1,0,62.47
4/2/2023,0,50,112.47
9/2/2023,20,0,92.47
15-02-2023,0,500,592.47
15-02-2023,470.82,0,121.65
16-02-2023,20,0,101.65
23-02-2023,0,800,901.65
23-02-2023,800,0,101.65
27-02-2023,0,1000,1101.65
28-02-2023,0,500,1601.65
28-02-2023,30,0,1571.65
28-02-2023,0,500,2071.65
28-02-2023,479,0,1592.65
2/3/2023,99,0,1493.65
6/3/2023,70,0,1423.65
6/3/2023,50,0,1373.65
6/3/2023,50,0,1323.65
10/3/2023,0,60,1383.65
13-03-2023,0,20,1403.65
13-03-2023,0,1600,3003.65
14-03-2023,10,0,2993.65
14-03-2023,50,0,2943.65
14-03-2023,1600,0,1343.65
15-03-2023,500,0,843.65
17-03-2023,470.82,0,372.83
24-03-2023,0,1000,1372.83
24-03-2023,280,0,1092.83
24-03-2023,1000,0,92.83
26-03-2023,0,500,592.83
29-03-2023,0,500,1092.83
30-03-2023,75,0,1017.83
30-03-2023,380,0,637.83
30-03-2023,0,380,1017.83
31-03-2023,100,0,917.83
1/4/2023,99,0,818.83
4/4/2023,0,10000,10818.83
4/4/2023,1000,0,9818.83
4/4/2023,8000,0,1818.83
4/4/2023,0,4,1822.83
5/4/2023,40,0,1782.83
6/4/2023,100,0,1682.83
6/4/2023,0,110,1792.83
6/4/2023,0,30,1822.83
6/4/2023,40,0,1782.83
6/4/2023,0,40,1822.83
10/4/2023,35,0,1787.83
11/4/2023,0,205,1992.83
12/4/2023,0,300,2292.83
12/4/2023,0,200,2492.83
12/4/2023,1500,0,992.83
12/4/2023,200,0,792.83
13-04-2023,300,0,492.83
13-04-2023,0,48,540.83
13-04-2023,0,150,690.83
13-04-2023,80,0,610.83
13-04-2023,220,0,390.83
14-04-2023,150,0,240.83
14-04-2023,0,200,440.83
16-04-2023,0,200,640.83
16-04-2023,470.82,0,170.01
16-04-2023,20,0,150.01
16-04-2023,20,0,130.01
16-04-2023,0,100,230.01
17-04-2023,0,500,730.01
17-04-2023,300,0,430.01
18-04-2023,120,0,310.01
18-04-2023,0,2800,3110.01
18-04-2023,118,0,2992.01
18-04-2023,1300,0,1692.01
18-04-2023,1300,0,392.01
19-04-2023,200,0,192.01
19-04-2023,0,270,462.01
19-04-2023,0,70,532.01
20-04-2023,0,90,622.01
26-04-2023,209,0,413.01
2/5/2023,50,0,363.01
4/5/2023,0,20,383.01
9/5/2023,0,600,983.01
9/5/2023,0,185,1168.01
10/5/2023,30,0,1138.01
11/5/2023,10,0,1128.01
12/5/2023,100,0,1028.01
12/5/2023,280,0,748.01
16-05-2023,0,500,1248.01
16-05-2023,470.82,0,777.19
17-05-2023,160,0,617.19
17-05-2023,0,70,687.19
19-05-2023,80,0,607.19
20-05-2023,70,0,537.19
21-05-2023,20,0,517.19
21-05-2023,100,0,417.19
21-05-2023,150,0,267.19
24-05-2023,12,0,255.19
24-05-2023,10,0,245.19
25-05-2023,0,105,350.19
27-05-2023,45,0,305.19
29-05-2023,0,800,1105.19
31-05-2023,80,0,1025.19
2/6/2023,121,0,904.19
3/6/2023,80,0,824.19
3/6/2023,20,0,804.19
4/6/2023,30,0,774.19
4/6/2023,20,0,754.19
4/6/2023,20,0,734.19
4/6/2023,75,0,659.19
4/6/2023,340,0,319.19
4/6/2023,0,500,819.19
4/6/2023,100,0,719.19
4/6/2023,380,0,339.19
4/6/2023,100,0,239.19
4/6/2023,0,320,559.19
4/6/2023,20,0,539.19
4/6/2023,60,0,479.19
4/6/2023,50,0,429.19
5/6/2023,300,0,129.19
6/6/2023,30,0,99.19
6/6/2023,45,0,54.19
13-06-2023,10,0,44.19
15-06-2023,0,500,544.19
15-06-2023,470.82,0,73.37
21-06-2023,0,200,273.37
21-06-2023,0,1500,1773.37
21-06-2023,209,0,1564.37
24-06-2023,500,0,1064.37
24-06-2023,1000,0,64.37
25-06-2023,0,2000,2064.37
27-06-2023,0,35,2099.37
28-06-2023,45,0,2054.37
28-06-2023,20,0,2034.37
30-06-2023,30,0,2004.37
30-06-2023,70,0,1934.37
1/7/2023,20,0,1914.37
1/7/2023,190,0,1724.37
3/7/2023,0,5,1729.37
4/7/2023,0,31545,33274.37
8/7/2023,30,0,33244.37
11/7/2023,0,1,33245.37
11/7/2023,0,1,33246.37
11/7/2023,1,0,33245.37
11/7/2023,600,0,32645.37
11/7/2023,30,0,32615.37
13-07-2023,0,200,32815.37
14-07-2023,23385,0,9430.37
14-07-2023,90,0,9340.37
15-07-2023,470.82,0,8869.55
16-07-2023,190,0,8679.55
17-07-2023,100,0,8579.55
17-07-2023,30,0,8549.55
19-07-2023,209,0,8340.55
20-07-2023,500,0,7840.55
22-07-2023,500,0,7340.55
25-07-2023,149,0,7191.55
27-07-2023,0,2200,9391.55
28-07-2023,100,0,9291.55
30-07-2023,2200,0,7091.55
31-07-2023,4385,0,2706.55
31-07-2023,0,20,2726.55
2/8/2023,6,0,2720.55
6/8/2023,136,0,2584.55
6/8/2023,110,0,2474.55
6/8/2023,0,1000,3474.55
9/8/2023,130,0,3344.55
10/8/2023,0,3000,6344.55
11/8/2023,150,0,6194.55
11/8/2023,0,150,6344.55
13-08-2023,0,246,6590.55
15-08-2023,470.82,0,6119.73
17-08-2023,209,0,5910.73
17-08-2023,60,0,5850.73
17-08-2023,60,0,5790.73
18-08-2023,20,0,5770.73
21-08-2023,15,0,5755.73
25-08-2023,0,70,5825.73
27-08-2023,599,0,5226.73
28-08-2023,599,0,4627.73
29-08-2023,100,0,4527.73
29-08-2023,225,0,4302.73
29-08-2023,0,1,4303.73
29-08-2023,4200,0,103.73
29-08-2023,0,4200,4303.73
31-08-2023,1500,0,2803.73
31-08-2023,70,0,2733.73
6/9/2023,0,120,2853.73
10/9/2023,500,0,2353.73
10/9/2023,20,0,2333.73
10/9/2023,322.5,0,2011.23
11/9/2023,167.15,0,1844.08
11/9/2023,1657,0,187.08
11/9/2023,0,165,352.08
11/9/2023,0,600,952.08
12/9/2023,0,1000,1952.08
12/9/2023,0,400,2352.08
12/9/2023,0,1430,3782.08
12/9/2023,0,600,4382.08
13-09-2023,0,20,4402.08
13-09-2023,0,25,4427.08
14-09-2023,209,0,4218.08
14-09-2023,1620,0,2598.08
14-09-2023,724,0,1874.08
14-09-2023,0,120,1994.08
14-09-2023,0,120,2114.08
14-09-2023,0,520,2634.08
14-09-2023,0,500,3134.08
15-09-2023,0,540,3674.08
15-09-2023,140,0,3534.08
15-09-2023,470.82,0,3063.26
16-09-2023,10,0,3053.26
16-09-2023,140,0,2913.26
17-09-2023,45,0,2868.26
17-09-2023,40,0,2828.26
18-09-2023,170,0,2658.26
18-09-2023,0,500,3158.26
20-09-2023,60,0,3098.26
22-09-2023,20,0,3078.26
26-09-2023,150,0,2928.26
26-09-2023,149,0,2779.26
26-09-2023,0,150,2929.26
27-09-2023,0,50,2979.26
28-09-2023,1800,0,1179.26
28-09-2023,900,0,279.26
1/10/2023,0,1000,1279.26
4/10/2023,0,1151,2430.26
4/10/2023,490,0,1940.26
5/10/2023,500,0,1440.26
6/10/2023,1000,0,440.26
9/10/2023,0,500,940.26
9/10/2023,60,0,880.26
9/10/2023,0,40,920.26
10/10/2023,0,25,945.26
10/10/2023,0,1500,2445.26
11/10/2023,0,30,2475.26
12/10/2023,10,0,2465.26
12/10/2023,209,0,2256.26
12/10/2023,0,10,2266.26
14-10-2023,155,0,2111.26
14-10-2023,0,4,2115.26
15-10-2023,1000,0,1115.26
16-10-2023,180,0,935.26
16-10-2023,0,10,945.26
17-10-2023,0,60,1005.26
17-10-2023,180,0,825.26
18-10-2023,1,0,824.26
18-10-2023,194,0,630.26
19-10-2023,70,0,560.26
20-10-2023,350,0,210.26
20-10-2023,0,1,211.26
20-10-2023,10,0,201.26
20-10-2023,120,0,81.26
21-10-2023,0,400,481.26
21-10-2023,0,1000,1481.26
21-10-2023,450,0,1031.26
21-10-2023,300,0,731.26
24-10-2023,100,0,631.26
27-10-2023,0,1000,1631.26
27-10-2023,1500,0,131.26
28-10-2023,0,15,146.26
31-10-2023,0,5,151.26
31-10-2023,35,0,116.26
1/11/2023,0,160,276.26
2/11/2023,40,0,236.26
7/11/2023,0,500,736.26
7/11/2023,0,517,1253.26
7/11/2023,90,0,1163.26
7/11/2023,20,0,1143.26
7/11/2023,10,0,1133.26
7/11/2023,1,0,1132.26
7/11/2023,0,100,1232.26
7/11/2023,1,0,1231.26
8/11/2023,1,0,1230.26
8/11/2023,35,0,1195.26
8/11/2023,1,0,1194.26
8/11/2023,100,0,1094.26
8/11/2023,60,0,1034.26
11/11/2023,0,1,1035.26
11/11/2023,0,165,1200.26
11/11/2023,0,1,1201.26
11/11/2023,0,201,1402.26
11/11/2023,80,0,1322.26
11/11/2023,9.5,0,1312.76
11/11/2023,0,1,1313.76
11/11/2023,1,0,1312.76
11/11/2023,50,0,1262.76
11/11/2023,0,338,1600.76
12/11/2023,180.5,0,1420.26
14-11-2023,156.5,0,1263.76
14-11-2023,0,5,1268.76
14-11-2023,120,0,1148.76
17-11-2023,100,0,1048.76
17-11-2023,114,0,934.76
17-11-2023,60,0,874.76
20-11-2023,50,0,824.76
21-11-2023,200,0,624.76
22-11-2023,300,0,324.76
22-11-2023,0,3,327.76
22-11-2023,0,300,627.76
22-11-2023,0,1500,2127.76
22-11-2023,1850,0,277.76
22-11-2023,0,1850,2127.76
22-11-2023,1850,0,277.76
25-11-2023,85,0,192.76
26-11-2023,60,0,132.76
27-11-2023,1,0,131.76
27-11-2023,0,300,431.76
27-11-2023,220,0,211.76
1/12/2023,0,100,311.76
1/12/2023,270,0,41.76
1/12/2023,0,20,61.76
1/12/2023,0,270,331.76
1/12/2023,60,0,271.76
2/12/2023,100,0,171.76
4/12/2023,0,1000,1171.76
4/12/2023,1000,0,171.76
5/12/2023,0,100,271.76
5/12/2023,0,500,771.76
5/12/2023,0,2500,3271.76
6/12/2023,500,0,2771.76
6/12/2023,0,500,3271.76
9/12/2023,0,1000,4271.76
9/12/2023,950,0,3321.76
9/12/2023,60,0,3261.76
14-12-2023,0,80,3341.76
15-12-2023,1,0,3340.76
15-12-2023,72,0,3268.76
16-12-2023,50,0,3218.76
16-12-2023,0,100,3318.76
16-12-2023,570,0,2748.76
16-12-2023,0,11000,13748.76
16-12-2023,0,10000,23748.76
16-12-2023,10000,0,13748.76
16-12-2023,12000,0,1748.76
16-12-2023,20,0,1728.76
17-12-2023,1,0,1727.76
17-12-2023,1,0,1726.76
17-12-2023,0,15,1741.76
17-12-2023,0,330,2071.76
17-12-2023,0,42.5,2114.26
18-12-2023,0,40,2154.26
18-12-2023,20,0,2134.26
18-12-2023,48,0,2086.26
20-12-2023,110,0,1976.26
20-12-2023,0,50,2026.26
20-12-2023,2000,0,26.26
20-12-2023,0,400,426.26
20-12-2023,0,600,1026.26
20-12-2023,0,250,1276.26
21-12-2023,50,0,1226.26
21-12-2023,0,10,1236.26
21-12-2023,0,10,1246.26
21-12-2023,0,30,1276.26
21-12-2023,0,20,1296.26
21-12-2023,0,10,1306.26
21-12-2023,0,65,1371.26
21-12-2023,150,0,1221.26
24-12-2023,0,7,1228.26
26-12-2023,150,0,1078.26
26-12-2023,50,0,1028.26
27-12-2023,0,350,1378.26
31-12-2023,350,0,1028.26
2/1/2024,180.5,0,847.76
5/1/2024,0,450,1297.76
5/1/2024,156.5,0,1141.26
6/1/2024,0,40,1181.26
6/1/2024,0,40,1221.26
6/1/2024,180,0,1041.26
8/1/2024,500,0,541.26
10/1/2024,0,100,641.26
10/1/2024,100,0,541.26
11/1/2024,500,0,41.26
17-01-2024,0,18000,18041.26
17-01-2024,0,9000,27041.26
17-01-2024,0,1,27042.26
17-01-2024,0,8999,36041.26
19-01-2024,0,128,36169.26
19-01-2024,156.5,0,36012.76
19-01-2024,0,4000,40012.76
19-01-2024,0,200,40212.76
19-01-2024,1,0,40211.76
19-01-2024,40000,0,211.76
24-01-2024,0,17,228.76
28-01-2024,180.5,0,48.26
5/2/2024,0,450,498.26
